194,005,032,106,213,141,210,107,009,137,252,,213,107,09,05,32,194,252,137,106,210,141,,332,
210,230,290,014,165,190,287,214,271,005,282,,214,165,05,190,230,282,210,287,290,271,14,,538,
131,094,077,023,241,270,005,206,165,162,228,,05,228,162,131,94,241,206,23,77,165,270,,352,
057,130,005,033,118,260,283,147,148,272,139,,283,130,272,05,33,57,148,139,147,260,118,,346,
005,237,083,047,111,197,294,130,290,181,110,,130,110,294,83,47,290,181,111,05,237,197,,394,
108,247,215,266,059,209,189,148,005,213,163,,189,209,148,05,59,247,213,215,108,266,163,,336,
076,209,013,006,113,142,039,195,206,226,166,,13,06,113,142,166,195,39,76,209,226,206,,382,
013,058,006,047,123,100,159,045,208,165,247,,06,13,123,165,58,45,100,159,208,47,247,,428,
078,079,062,086,024,175,020,150,190,006,229,,06,62,79,20,229,190,150,175,24,86,78,,304,
296,162,292,050,216,026,231,131,188,006,057,,162,296,231,57,216,292,188,131,26,06,50,,422,
006,236,249,244,047,203,041,219,232,273,042,,219,249,273,41,47,203,06,244,236,232,42,,436,
284,155,166,119,248,188,007,209,291,205,008,,08,291,155,07,205,188,284,248,209,119,166,,354,
007,219,271,046,295,286,158,109,190,254,197,,271,219,254,197,158,109,286,46,07,190,295,,360,
007,109,221,174,060,287,151,101,063,107,242,,151,109,107,101,60,07,221,242,174,63,287,,404,
189,031,017,196,088,008,183,155,087,049,287,,31,189,183,17,196,88,155,87,287,49,08,,360,
038,025,196,181,126,109,159,290,250,255,010,,181,25,109,126,159,250,196,255,290,38,10,,466,
010,162,295,214,055,136,109,076,033,286,212,,212,76,109,10,33,162,295,286,55,136,214,,432,
012,097,276,186,164,227,116,224,059,170,226,,226,170,164,227,59,224,12,97,276,186,116,,314,
263,239,068,125,221,297,012,199,149,126,277,,239,221,149,68,126,199,125,297,263,277,12,,426,
184,279,099,026,201,280,260,183,195,013,018,,184,183,195,18,26,201,279,99,280,13,260,,356,
241,152,184,103,121,135,270,188,192,258,013,,135,270,103,192,13,188,258,152,241,184,121,,338,
022,212,104,056,266,027,014,158,254,299,145,,14,56,145,22,212,104,254,266,158,299,27,,300,
243,138,014,078,084,061,121,205,026,246,256,,138,61,243,14,246,121,78,26,256,205,84,,388,
103,026,192,149,135,130,224,014,169,226,243,,224,135,169,149,103,243,226,130,192,26,14,,394,
226,065,178,155,093,137,146,094,015,135,068,,65,93,94,135,15,226,155,137,68,178,146,,434,
099,218,266,140,107,194,084,146,217,255,015,,194,146,255,107,218,99,217,15,84,140,266,,354,
200,016,283,021,088,297,222,031,132,032,188,,16,31,283,222,21,32,132,200,188,88,297,,422,
183,105,298,047,173,067,016,239,264,045,276,,45,105,276,173,67,47,239,183,298,264,16,,372,
148,036,041,044,230,082,191,286,224,017,150,,44,224,82,41,36,148,230,191,150,17,286,,354,
225,108,220,253,017,214,271,100,266,146,161,,108,100,225,253,220,214,161,266,17,146,271,,410,
022,026,033,257,043,018,290,188,151,168,093,,188,290,93,22,18,168,257,33,151,26,43,,452,
024,158,236,223,018,219,090,164,265,296,106,,164,236,296,158,219,90,18,24,106,223,265,,364,
168,136,228,246,033,041,212,216,184,018,235,,136,41,235,212,33,168,216,228,246,184,18,,500,
203,098,047,149,172,124,127,018,059,123,282,,47,18,59,123,149,282,124,172,98,127,203,,378,
258,126,199,093,175,271,300,257,018,068,239,,68,199,18,175,126,93,239,271,300,258,257,,374,
018,143,151,267,102,236,160,103,134,235,294,,102,103,267,235,134,160,236,294,151,18,143,,324,
